photo,lieu,latitude,longitude,month,year,x,y,Mean IoU,Class 1 IoU,Class 2 IoU,Mean Acc,Class 1 Acc,Class 2 Acc,LowMeanIoU,LowClass1Iou,LowClass2IoU,LowMeanAcc,LowClass1Acc,LowClass2Acc,MeanIoULight,Class1IoULight,Class2IoULight,MeanAccLight,Class1AccLight,Class2AccLight,difficulty
194_rgb.png,Teghime,42.6771224,9.3827567,10,2005,0.973122846,1,0.302396209,0.1273994,0.477393018,0.248558962,-0.012663835,0.50978176,0.573937587,0.808089856,0.339785319,0.669834742,0.997503112,0.342166372,0.876333797,0.935489256,0.817178337,0.918393704,0.984839277,0.851948132,difficult
193_rgb.png,Teghime,42.6771224,9.3827567,10,2005,0.973122846,1,0.182347491,0.117338987,0.247355995,0.127880341,0.014031461,0.241729221,0.67821529,0.781357677,0.575072904,0.786750043,0.967085118,0.606414967,0.860562781,0.898696664,0.822428898,0.914630384,0.981116579,0.848144188,easy
192_rgb.png,Teghime,42.6771224,9.3827567,10,2005,0.973122846,1,0.117921503,0.009421492,0.226421514,0.140238003,-0.003065593,0.283541598,0.763771454,0.979561278,0.547981629,0.779095513,0.99908218,0.559108846,0.881692956,0.988982769,0.774403143,0.919333516,0.996016588,0.842650444,easy
116_rgb.png,Tarrano,42.35,9.4017,11,2013,1,0.701447247,0.306427959,0.083526135,0.529329782,0.323132062,-0.041740743,0.688004867,0.558126445,0.86164804,0.254604851,0.627499897,0.997980544,0.257019251,0.864554404,0.945174175,0.783934633,0.950631959,0.956239801,0.945024118,difficult
115_rgb.png,Tarrano,42.35,9.4017,11,2013,1,0.701447247,-0.131953915,-0.079257596,-0.184650234,0.063898053,-0.112005926,0.239802033,0.845530307,0.96171169,0.729348923,0.87446811,0.995277628,0.753658593,0.713576392,0.882454094,0.544698689,0.938366164,0.883271702,0.993460625,easy
114_rgb.png,Tarrano,42.35,9.4017,11,2013,1,0.701447247,0.127779914,0.026374493,0.229185335,0.124962692,-0.001436933,0.251362316,0.760706509,0.948979938,0.572433081,0.798552068,0.993560114,0.603544022,0.888486424,0.975354432,0.801618416,0.92351476,0.992123181,0.854906338,easy
113_rgb.png,Tarrano,42.35,9.4017,11,2013,1,0.701447247,0.297567881,0.228821051,0.366314711,0.19887579,0.040103308,0.357648272,0.586976008,0.665959996,0.507992019,0.738412504,0.92480974,0.552015268,0.884543889,0.894781047,0.87430673,0.937288294,0.964913048,0.90966354,easy
112_rgb.png,Tarrano,42.35,9.4017,10,2013,1,0.701447247,0.140256477,0.042300966,0.238211988,0.12251706,0.005527615,0.239506506,0.692076125,0.906052236,0.478100013,0.753929143,0.982413156,0.525445129,0.832332601,0.948353202,0.716312001,0.876446203,0.987940771,0.764951635,easy
111_rgb.png,Tarrano,42.35,9.4017,10,2013,1,0.701447247,0.206102953,0.068737417,0.343468488,0.202419509,-0.015801084,0.420640102,0.703276323,0.894869724,0.511682922,0.763096561,0.98849309,0.537700032,0.909379276,0.963607142,0.85515141,0.96551607,0.972692006,0.958340134,easy
110_rgb.png,Tarrano,42.35,9.4017,12,2013,1,0.701447247,0.345962739,0.036458987,0.65546649,0.401906836,-0.01487242,0.818686092,0.508299171,0.941623578,0.074974764,0.537492864,0.999908871,0.075076856,0.85426191,0.978082566,0.730441254,0.9393997,0.985036451,0.893762949,difficult
109_rgb.png,Tarrano,42.35,9.4017,11,2013,1,0.701447247,0.165201683,0.080592963,0.249810403,0.117740987,0.034091062,0.201390912,0.648946838,0.834833569,0.463060107,0.739376105,0.964796373,0.513955836,0.814148521,0.915426532,0.71287051,0.857117092,0.998887436,0.715346748,easy
108_rgb.png,Tarrano,42.35,9.4017,11,2013,1,0.701447247,0.112088287,0.089901475,0.134275098,0.070841892,0.025778169,0.115905616,0.762858859,0.803703328,0.72201439,0.859267699,0.940520733,0.778014665,0.874947146,0.893604804,0.856289488,0.930109591,0.966298902,0.893920281,easy
